Index,Depth,Magnitude,MaxIntensity
2000,88,2.9,1
2001,104,3.6,1
2002,5,1.6,1
2003,9,2.4,1
2004,9,2.2,1
2005,16,3.4,1
2007,77,3.6,1
2009,8,2.1,1
2010,8,2.7,1
2011,45,3.4,1
2012,47,3.8,1
2013,85,3.7,1
2017,63,3.6,1
2018,33,4.2,1
2019,6,1.6,1
2021,67,3.8,1
2023,56,3.5,1
2024,6,1.9,1
2025,46,3.0,1
2026,12,3.1,1
2027,115,4.0,1
2028,57,2.9,1
2031,3,2.0,1
2032,46,3.3,1
2033,11,2.6,1
2035,19,2.7,1
2036,26,4.2,1
2038,117,5.4,1
2041,37,3.5,1
2042,10,2.9,1
2043,4,1.2,1
2044,8,2.5,1
2045,53,3.8,1
2046,4,2.1,1
2047,51,4.4,1
2049,40,3.4,1
2050,15,2.8,1
2051,10,2.1,1
2052,6,2.6,1
2053,29,4.3,1
2054,32,3.6,1
2058,15,3.1,1
2060,93,3.8,1
2062,64,3.8,1
2066,12,2.5,1
2067,12,2.9,1
2069,8,1.9,1
2071,112,3.2,1
2072,49,3.7,1
2074,542,5.2,1
2075,8,2.8,1
2077,5,1.8,1
2079,85,3.3,1
2080,68,3.1,1
2081,15,3.0,1
2082,15,2.7,1
2083,15,3.0,1
2084,14,3.0,1
2086,12,2.3,1
